step,agent_id,cumulative_interest,repository_size,k_value,boredom_triggered,num_self_evals,num_other_evals,num_shares,num_domain_adoptions,avg_novelty_generated,avg_interest_generated
0,0,0.6499893537142688,3,15,False,1,2,1,2,1.0,0.9999836210988751
0,1,0.6499995083458803,3,15,False,1,2,1,2,1.0,0.9999992436090465
0,2,0.6499997019194548,6,15,False,1,5,1,5,1.0,0.9999995414145457
0,3,0.6499997018936725,5,15,False,1,4,1,4,1.0,0.9999995413748808
0,4,0.6499933858147872,2,15,False,1,1,1,1,1.0,0.9999898243304418
0,5,0.6499999940343756,3,15,False,1,2,1,2,1.0,0.9999999908221162
0,6,0.6499988877928865,4,15,False,1,3,1,3,1.0,0.999998288912133
0,7,0.6499998945863416,8,15,False,1,7,1,7,1.0,0.9999998378251409
0,8,0.6499970378557433,4,15,False,1,3,1,3,1.0,0.9999954428549895
0,9,0.6499999845467384,2,15,False,1,1,1,1,1.0,0.9999999762257513
0,10,0.649999938392696,4,15,False,1,3,1,3,1.0,0.9999999052195323
0,11,0.6476787580376808,3,15,False,1,2,1,2,1.0,0.9964288585195089
0,12,0.6499999595742559,2,15,False,1,1,1,1,1.0,0.9999999378065476
0,13,0.6499264399355285,4,15,False,1,3,1,3,1.0,0.9998868306700437
0,14,0.6499999965839343,2,15,False,1,1,1,1,1.0,0.9999999947445142
0,15,0.649999564689123,4,15,False,1,3,1,3,1.0,0.9999993302909584
0,16,0.6499996944456127,4,15,False,1,3,1,3,1.0,0.9999995299163271
0,17,0.6499934839307048,5,15,False,1,4,1,4,1.0,0.9999899752780073
0,18,0.6499952173707686,7,15,False,1,6,1,6,1.0,0.9999926421088747
0,19,0.649999999358718,5,15,False,1,4,1,4,1.0,0.9999999990134123
10,0,0.15007083189448056,16,15,False,11,4,1,2,0.5978503133475269,0.3961026024452311
10,1,0.38707109222567476,11,15,False,11,4,2,2,0.6321385472657419,0.5292731691814401
10,2,0.250038270966484,23,15,False,11,7,1,5,0.6167314008805564,0.3343958062638972
10,3,0.3318053228132781,19,15,False,11,5,1,4,0.6089985921624822,0.37138858151979814
10,4,0.06738465435487356,12,15,False,11,1,1,1,0.6142998205880346,0.4756736948428516
10,5,0.5367882209663578,14,15,False,11,4,1,2,0.5317086820875205,0.438809078749558
10,6,0.30800078246870083,16,15,False,11,5,2,3,0.6003891869451635,0.4345429848393591
10,7,0.4080400211418351,23,15,False,11,7,1,7,0.6064125390070347,0.2719231744343968
10,8,0.4583178915719414,15,15,False,11,3,2,3,0.6007304982780949,0.43430932161042235
10,9,0.34940313024773595,11,15,False,11,1,1,1,0.5726373406367201,0.5016731894802295
10,10,0.445320030079837,17,15,False,11,4,1,3,0.5914896962097851,0.4267899550694679
10,11,0.00971454518280238,17,15,False,11,3,1,2,0.5884989279079043,0.40781931411308575
10,12,0.1359590750264012,12,15,False,11,2,1,1,0.5700738406602924,0.4863298827520579
10,13,0.02292726909132274,17,15,False,11,4,1,3,0.6109600977904952,0.37098922272307083
10,14,0.4951320387974433,13,15,False,11,2,2,1,0.604734494178889,0.6129170169765709
10,15,0.23191566616707754,14,15,False,11,3,1,3,0.6173238513958293,0.44174935471713594
10,16,0.34868674129208194,14,15,False,11,3,1,3,0.5763335639938393,0.4131062439364305
10,17,0.5003288296548049,27,15,False,11,9,2,4,0.659215755327624,0.3558308863211147
10,18,0.3190417050608514,26,15,False,11,9,1,6,0.6433963523747102,0.27745624446873085
10,19,0.47956155833460923,13,15,False,11,4,4,4,0.653596814218321,0.6013488052970358
20,0,0.19328847748544253,36,15,False,21,12,3,2,0.4743477464522221,0.34039876684312487
20,1,0.5508614710356665,26,15,False,21,9,5,3,0.46918311017778697,0.5098259417367846
20,2,0.5537475381057901,36,15,False,21,10,7,8,0.49806603636516644,0.44446658623442825
20,3,0.7511257228088777,39,15,False,21,15,6,6,0.48998973949401237,0.48449060223622553
20,20,0.0,0,15,False,0,0,0,0,0.0,0.0
20,5,0.6442598077380741,28,15,False,21,9,3,2,0.35334868617947696,0.3922312860864838
20,6,0.4775631713212956,31,15,False,21,11,4,3,0.5036035854682832,0.36745386134687424
20,7,0.6796961208469132,41,15,False,21,15,6,9,0.5034316434072924,0.4438000162251474
20,8,0.3425075348101922,30,15,False,21,8,3,4,0.4354734092576124,0.3345161627360472
20,9,0.630214266780366,28,15,False,21,10,7,2,0.39993899097573293,0.5183805972545695
20,10,0.6028744802854653,33,15,False,21,10,5,4,0.4161487695308564,0.458915581245407
20,11,0.117281485960046,46,15,False,21,14,1,2,0.4646138628167197,0.2447578939303848
20,21,0.0,0,15,False,0,0,0,0,0.0,0.0
20,13,0.2693048373777669,40,15,False,21,14,1,4,0.487601300720931,0.2846704317520086
20,14,0.6628457121684441,35,15,False,21,14,7,4,0.4906575825606022,0.5832586492959573
20,15,0.4065328270302956,32,15,False,21,12,2,7,0.42735796005810545,0.4101038055599934
20,16,0.5827842772762789,34,15,False,21,13,4,5,0.4692161374947825,0.41547604385038134
20,17,0.4464335002013007,45,15,False,21,17,3,5,0.478364334697313,0.3338554436790686
20,18,0.6319354728813364,53,15,False,21,26,3,10,0.4598331058019377,0.2814741095137225
20,19,0.717341141648305,41,15,False,21,22,9,4,0.5253944529665854,0.5422918909323546
30,26,0.20236987933684597,6,15,False,4,3,0,1,0.02004807388612153,0.12211831947023676
30,1,0.3864809664176121,40,15,False,31,13,5,3,0.38587697508904395,0.4530377302378286
30,28,0.0015952684396253914,2,15,False,1,0,0,0,0.022294052583780373,0.0024542591378852174
30,3,0.35350730037585926,54,15,False,31,20,7,8,0.42507594554152583,0.4485867899282162
30,20,0.13645506433370216,20,15,False,10,9,0,1,0.2141322015175688,0.1630054435977144
30,5,0.7447837520449183,41,15,False,31,12,5,3,0.3542158763501485,0.3651489558177623
30,6,0.4656190193861982,45,15,False,31,15,6,3,0.4038926018420142,0.3400322032337609
30,7,0.49376038910271036,56,15,False,31,20,9,9,0.43257428609556775,0.4745409699187975
30,22,0.06616652424263865,20,15,False,9,7,0,1,0.13240532805171365,0.06284138573296089
30,9,0.588079462647568,42,15,False,31,16,9,3,0.36097978568088196,0.4824828718339965
30,23,0.09782043833752925,16,15,False,8,5,0,1,0.15395239287509416,0.09593917293621734
30,11,0.5718891024894046,66,15,False,31,21,2,2,0.4720758787693652,0.24588946550367877
30,21,0.18613745341185334,19,15,False,10,6,0,1,0.15271619716788795,0.15571119364298466
30,13,0.4722282240007152,58,15,False,31,18,3,4,0.4153217336246139,0.2524343449910515
30,27,0.028525447996196683,9,15,False,4,2,0,0,0.04880518094897208,0.011127538770737397
30,15,0.689477391591057,47,15,False,31,17,5,9,0.40013728523325226,0.4400928939438615
30,24,0.18861174371971093,15,15,False,8,6,0,1,0.151465489862372,0.11675108591706816
30,25,0.7537887240434369,8,15,False,6,2,4,1,0.2919128048380119,0.6629118826386114
30,18,0.6410924621286468,70,15,False,31,33,6,12,0.4856786651479667,0.33261409059667374
30,19,0.6427852071151198,55,15,False,31,26,14,5,0.4409166879585802,0.5640566027876259
40,26,0.4517827652516082,23,15,False,14,10,4,1,0.17253703144439622,0.4186068988067781
40,31,0.011816412396057874,2,15,False,1,0,0,0,0.02343911954699051,0.01817909599393519
40,28,0.1483711093579706,26,15,False,11,8,0,1,0.19133727904895723,0.0864446673653403
40,3,0.42004185278748846,70,15,False,41,26,10,10,0.38665190264109,0.4460720386814006
40,20,0.2235969473817071,42,15,False,20,21,1,2,0.2442838814553816,0.20556714688854522
40,5,0.7510031266099599,59,15,False,41,20,12,6,0.3429510715847817,0.42814399660472396
40,6,0.5268021009289701,58,15,False,41,18,10,4,0.43356553483820043,0.37685762799455264
40,7,0.36503132977385655,73,15,False,41,27,13,10,0.4196531299992605,0.4786961753276029
40,22,0.2754877921818418,37,15,False,19,13,0,3,0.214473074772548,0.16591393753065056
40,9,0.6661083655203508,58,15,False,41,22,12,5,0.3125238539035102,0.46577738837016264
40,23,0.5692030836776426,33,15,False,18,12,1,2,0.217227141511074,0.15817088278065045
40,29,0.23041858834602094,18,15,False,8,6,0,1,0.15321848933322024,0.13759973187807195
40,21,0.36386050663594655,36,15,False,20,12,0,2,0.17157437967924474,0.1816367180434138
40,13,0.24919987544575628,79,15,False,41,29,4,4,0.40549363629667384,0.2752274411064641
40,27,0.12655581768822388,30,15,False,14,12,0,0,0.14137077328810355,0.0738987345674176
40,15,0.5378080562454017,60,15,False,41,20,8,9,0.39733154156820416,0.4179991767868411
40,24,0.24861799185192351,31,15,False,18,13,1,2,0.19837490579155687,0.1807515014362765
40,25,0.6753099031311481,24,15,False,16,8,8,1,0.2225483885536656,0.6289592104912463
40,30,0.06674644435883745,9,15,False,4,3,0,1,0.06912146746819556,0.016960162227243232
40,19,0.7315060513188346,71,15,False,41,32,18,7,0.409326724180958,0.567671177972409
50,26,0.6088923071546855,42,15,False,24,19,5,5,0.18313210547586053,0.41460359986340206
50,31,0.2859844940338065,10,15,False,11,2,3,0,0.3087047579298285,0.3603319766924147
50,28,0.19843842294052652,46,15,False,21,15,0,2,0.24934632442865962,0.15381482961068174
50,3,0.5652801827190181,89,15,False,51,35,12,12,0.3766189086266282,0.4308721263049122
50,20,0.626812287921521,61,15,False,30,27,3,5,0.27839937411705445,0.2201827653744899
50,5,0.6926072199152804,75,15,False,51,26,17,7,0.32358831376456393,0.4695961563640192
50,6,0.5018219970041937,71,15,False,51,21,13,5,0.4127931251981813,0.3876884285000967
50,32,0.3600534201866885,6,15,False,4,1,0,0,0.13646657815491722,0.23813352852892317
50,22,0.4636350091236021,55,15,False,29,21,1,5,0.27435068062360574,0.23056573373045955
50,9,0.774025350623347,77,15,False,51,31,14,6,0.31676567115575677,0.4503257029871424
50,23,0.19730737338330695,53,15,False,28,21,2,6,0.2716118714965897,0.20200100938563975
50,29,0.18181194547638058,32,15,False,18,10,1,1,0.23756886520314532,0.2355448111401113
50,21,0.6490668884844226,54,15,False,30,20,1,5,0.2147269451673732,0.22137205613336475
50,33,0.6242934148903602,8,15,False,4,3,1,1,0.23968905746456706,0.564970488798357
50,27,0.2988819976173076,44,15,False,24,15,1,1,0.2024361343082559,0.12339215722548881
50,15,0.591571169446517,80,15,False,51,30,13,11,0.4005041449808367,0.44976922172705797
50,24,0.25431034100882793,43,15,False,28,15,2,3,0.2524739815742147,0.2174067506080674
50,25,0.6640866419221456,43,15,False,26,17,10,1,0.26255150671235217,0.5770592374016134
50,30,0.342128530752542,27,15,False,14,7,2,1,0.20292079836069074,0.16506037089508335
50,19,0.7665731389045145,86,15,False,51,37,23,8,0.39214608271427276,0.5845482051165515
60,38,0.21554068197107643,8,15,False,4,3,0,0,0.044011140236656185,0.14876088246405184
60,31,0.3378914484746666,24,15,False,21,6,4,0,0.2736301994409517,0.3184747208960948
60,34,0.5444684218458855,10,15,False,7,3,2,1,0.10083498832328489,0.4964747659329138
60,37,0.05465510864484539,13,15,False,6,2,0,0,0.10186736397494434,0.03138803545292317
60,35,0.21994774193021993,17,15,False,7,8,0,0,0.2212226399861786,0.19686715252821818
60,5,0.7733010085411594,89,15,False,61,30,23,8,0.32070333626805675,0.5078003210747567
60,39,0.0,0,15,False,0,0,0,0,0.0,0.0
60,32,0.35390807333040586,22,15,False,14,7,1,0,0.18360309358248145,0.32055809541441144
60,22,0.11135643046920807,72,15,False,39,27,4,6,0.28298578113336487,0.254912464144019
60,9,0.7807992661950702,89,15,False,61,34,18,8,0.31199447113630274,0.46879491527692574
60,23,0.412315855508359,68,15,False,38,24,4,7,0.27870154379834144,0.22178370517742088
60,29,0.7041991390609663,47,15,False,28,14,4,2,0.2721247582667497,0.2797072381198918
60,21,0.5909043768287336,70,15,False,40,26,3,6,0.25843009895407004,0.2666851349548314
60,33,0.6332153796844668,27,15,False,14,12,4,3,0.1948469928187784,0.5004126217736273
60,27,0.33098976350053594,63,15,False,34,24,1,5,0.22391263652252186,0.15955210659692443
60,36,0.6603831041012334,12,15,False,7,4,1,0,0.1084594727054332,0.38113347666582686
60,24,0.2868512125866757,62,15,False,38,25,2,4,0.24768718209257698,0.1852961053931292
60,25,0.6646056400435699,62,15,False,36,26,13,1,0.2984158085808634,0.5377028890961921
60,30,0.3966647122244903,44,15,False,24,14,2,2,0.26610749211104445,0.22141135654519217
