Source,Target,Weight,Type
0,10,0.9204,Directed
0,8,0.9231,Directed
0,2,0.9210,Directed
1,8,0.8461,Directed
1,3,0.9210,Directed
1,18,1.7099,Directed
2,16,0.9210,Directed
2,3,1.6256,Directed
2,5,0.9201,Directed
3,5,0.8402,Directed
3,16,0.8420,Directed
3,6,0.9219,Directed
4,9,0.9202,Directed
4,17,0.9244,Directed
4,14,0.9201,Directed
5,7,1.7147,Directed
5,18,0.8476,Directed
5,19,2.4199,Directed
6,10,0.8409,Directed
6,13,0.9322,Directed
6,12,0.9204,Directed
7,15,1.7101,Directed
7,17,0.8488,Directed
7,19,1.5742,Directed
8,3,0.7630,Directed
8,7,0.8412,Directed
8,18,0.7715,Directed
9,2,1.6251,Directed
9,11,0.9366,Directed
9,0,0.9255,Directed
10,19,0.7601,Directed
10,18,1.4951,Directed
10,7,0.7618,Directed
11,19,0.6801,Directed
11,7,0.6823,Directed
11,0,0.8510,Directed
12,2,0.7630,Directed
12,1,0.9213,Directed
12,7,0.6029,Directed
13,2,0.6840,Directed
13,1,1.6050,Directed
13,10,0.7613,Directed
14,2,2.9998,Directed
14,17,0.7732,Directed
14,7,0.5235,Directed
15,8,0.7692,Directed
15,16,0.7630,Directed
15,6,0.8438,Directed
16,18,0.6191,Directed
16,4,0.9244,Directed
16,15,0.8424,Directed
17,7,0.4441,Directed
17,15,1.5532,Directed
17,13,0.8645,Directed
18,6,0.7658,Directed
18,3,1.4223,Directed
18,17,0.6976,Directed
19,13,0.7968,Directed
19,11,0.8768,Directed
19,18,1.3425,Directed
3,15,1.5874,Directed
14,13,0.7898,Directed
2,14,0.7574,Directed
2,9,0.8004,Directed
6,14,0.7999,Directed
9,16,1.5677,Directed
9,1,0.7754,Directed
16,14,0.8005,Directed
19,7,0.7907,Directed
2,18,0.7830,Directed
10,3,0.7909,Directed
19,15,0.7730,Directed
1,10,0.7994,Directed
9,3,0.7975,Directed
16,2,0.7862,Directed
16,17,0.7992,Directed
12,8,0.7983,Directed
14,16,0.7926,Directed
15,3,0.7986,Directed
16,9,0.7895,Directed
0,5,0.7996,Directed
3,23,1.6748,Directed
5,21,1.6304,Directed
6,22,0.8328,Directed
6,15,0.7975,Directed
14,18,1.5943,Directed
15,24,0.8560,Directed
18,2,0.7987,Directed
19,26,1.5805,Directed
15,20,0.7960,Directed
15,19,0.7806,Directed
15,25,0.7796,Directed
7,5,0.7969,Directed
26,1,0.7928,Directed
7,21,0.7907,Directed
7,18,0.8004,Directed
19,1,0.7587,Directed
1,9,0.7919,Directed
9,5,1.5615,Directed
26,23,0.7692,Directed
26,6,0.7246,Directed
1,5,0.7776,Directed
18,7,0.7736,Directed
