Source,Target,Weight,Type
0,19,1.6953,Directed
0,3,1.7232,Directed
0,18,0.9204,Directed
1,16,2.4665,Directed
1,3,1.6458,Directed
1,5,0.9290,Directed
2,5,1.6571,Directed
2,16,2.3701,Directed
2,6,1.6709,Directed
3,9,0.9200,Directed
3,17,0.9224,Directed
3,14,1.7142,Directed
4,7,0.9204,Directed
4,18,0.8407,Directed
4,19,0.8645,Directed
5,10,0.9298,Directed
5,13,1.6958,Directed
5,12,1.7175,Directed
6,15,0.9266,Directed
6,17,0.8447,Directed
6,19,1.5805,Directed
7,3,1.5672,Directed
7,8,1.7055,Directed
7,18,2.3155,Directed
8,2,2.4665,Directed
8,11,0.9200,Directed
8,0,0.9255,Directed
9,19,0.7290,Directed
9,18,0.6814,Directed
9,7,1.6350,Directed
10,19,0.6613,Directed
10,7,0.7613,Directed
10,0,1.6337,Directed
11,2,2.4035,Directed
11,1,2.4598,Directed
11,7,4.6184,Directed
12,2,3.8617,Directed
12,1,3.1605,Directed
12,10,3.2011,Directed
13,2,5.4120,Directed
13,17,3.0506,Directed
13,7,0.6022,Directed
14,8,3.0809,Directed
14,16,2.3247,Directed
14,6,3.9734,Directed
15,18,0.6018,Directed
15,4,0.9390,Directed
15,16,0.6817,Directed
16,7,2.1136,Directed
16,15,0.8533,Directed
16,13,1.6150,Directed
17,6,1.5288,Directed
17,3,2.2879,Directed
17,18,0.5221,Directed
18,13,0.7601,Directed
18,11,3.0288,Directed
18,19,2.1266,Directed
19,13,0.6801,Directed
19,14,2.4203,Directed
19,1,0.7639,Directed
9,0,0.7920,Directed
16,14,3.9162,Directed
3,7,3.0984,Directed
16,11,0.7347,Directed
18,7,2.3975,Directed
7,5,2.3165,Directed
8,7,2.2705,Directed
11,4,1.4700,Directed
18,1,3.1311,Directed
18,6,0.8005,Directed
8,1,0.7270,Directed
12,5,0.7947,Directed
12,3,2.2957,Directed
19,8,1.5805,Directed
2,18,3.1250,Directed
19,6,1.5859,Directed
2,7,2.3685,Directed
12,16,1.5077,Directed
19,5,1.5076,Directed
12,14,1.5136,Directed
18,2,2.3516,Directed
0,5,0.7956,Directed
0,8,1.5773,Directed
5,0,1.4580,Directed
11,13,3.0724,Directed
15,8,1.5824,Directed
15,12,1.5711,Directed
11,6,2.3748,Directed
13,16,7.0385,Directed
15,5,1.5112,Directed
2,15,2.3451,Directed
7,1,1.5286,Directed
11,5,0.7978,Directed
14,3,1.5373,Directed
7,11,2.2573,Directed
8,19,1.5872,Directed
13,6,2.2898,Directed
14,0,0.7843,Directed
16,3,1.5869,Directed
13,4,0.7388,Directed
13,18,3.9353,Directed
14,1,2.3550,Directed
2,1,2.3402,Directed
3,8,3.1419,Directed
16,17,2.3807,Directed
17,11,1.5071,Directed
17,16,1.5552,Directed
17,15,0.7580,Directed
0,17,0.7393,Directed
8,15,1.5116,Directed
12,0,0.7669,Directed
19,10,3.0905,Directed
3,18,0.7850,Directed
5,15,0.7533,Directed
0,1,0.8003,Directed
2,11,1.5048,Directed
3,5,3.0657,Directed
17,7,0.7728,Directed
2,8,0.7171,Directed
13,19,2.3728,Directed
16,8,0.7983,Directed
16,6,1.5637,Directed
6,3,2.3316,Directed
1,15,1.5358,Directed
1,2,1.5749,Directed
2,10,0.7090,Directed
4,12,0.6943,Directed
8,3,3.0864,Directed
16,12,1.5663,Directed
7,12,2.3409,Directed
13,15,1.5368,Directed
12,11,0.7238,Directed
18,16,2.3266,Directed
18,12,2.3662,Directed
11,16,2.3899,Directed
12,18,1.5554,Directed
12,7,1.5040,Directed
18,5,0.7995,Directed
13,1,3.8841,Directed
19,12,0.7674,Directed
19,16,0.7995,Directed
14,12,3.1389,Directed
7,16,0.8001,Directed
7,17,1.5536,Directed
5,8,2.3657,Directed
16,18,2.3796,Directed
1,12,0.7794,Directed
5,6,2.3787,Directed
6,13,2.2881,Directed
10,2,0.7885,Directed
16,1,2.2307,Directed
16,0,0.7809,Directed
0,2,1.5860,Directed
6,1,2.3469,Directed
16,10,2.3272,Directed
19,7,1.5604,Directed
13,3,2.2938,Directed
2,19,1.5404,Directed
8,13,0.7656,Directed
2,4,0.7195,Directed
5,17,2.3433,Directed
11,3,0.8003,Directed
14,15,0.7908,Directed
2,3,2.3733,Directed
11,14,4.7157,Directed
11,19,2.3691,Directed
8,14,0.7615,Directed
9,14,0.7894,Directed
13,14,0.7939,Directed
14,19,0.8001,Directed
5,16,0.7949,Directed
5,14,3.1167,Directed
13,11,0.7533,Directed
15,1,0.7785,Directed
13,12,2.3033,Directed
14,11,0.7506,Directed
3,1,1.5947,Directed
15,7,0.7785,Directed
6,14,1.5413,Directed
6,16,1.4984,Directed
9,6,0.7737,Directed
11,15,1.5532,Directed
1,14,3.0506,Directed
1,19,1.4813,Directed
17,8,0.7332,Directed
17,10,1.4831,Directed
3,16,3.1188,Directed
15,10,1.4988,Directed
19,17,1.4762,Directed
14,10,0.7823,Directed
14,13,0.7759,Directed
3,10,1.5900,Directed
3,15,0.7983,Directed
1,10,0.8003,Directed
4,14,0.7919,Directed
14,7,2.3685,Directed
17,0,0.7627,Directed
3,0,0.7871,Directed
8,17,1.5809,Directed
1,13,0.7752,Directed
2,13,0.7693,Directed
17,14,0.7814,Directed
7,10,0.7774,Directed
12,8,0.7979,Directed
3,13,0.7553,Directed
6,18,0.7766,Directed
6,2,1.5775,Directed
4,1,0.7878,Directed
19,3,0.7994,Directed
3,19,1.5027,Directed
1,8,0.7475,Directed
1,17,1.5618,Directed
1,6,0.7686,Directed
2,17,0.7793,Directed
9,13,0.7769,Directed
17,1,2.3923,Directed
12,15,2.3898,Directed
6,7,2.3591,Directed
18,0,0.7907,Directed
6,5,1.5950,Directed
11,12,2.2571,Directed
12,17,2.3448,Directed
6,12,1.5887,Directed
2,0,1.4883,Directed
12,6,0.7455,Directed
14,18,2.3242,Directed
5,1,0.7658,Directed
6,11,0.7535,Directed
13,10,0.7867,Directed
17,5,0.7912,Directed
16,5,0.7921,Directed
10,5,0.7624,Directed
11,10,0.7329,Directed
6,0,0.7223,Directed
1,11,0.7533,Directed
6,8,0.7808,Directed
7,15,0.7956,Directed
14,5,0.7463,Directed
16,4,0.7383,Directed
6,10,1.5371,Directed
1,7,0.7856,Directed
3,2,0.8000,Directed
7,14,0.8002,Directed
10,3,1.5953,Directed
7,19,0.7991,Directed
4,0,0.7716,Directed
7,2,0.7896,Directed
15,2,1.5722,Directed
15,6,0.7949,Directed
