Source,Target,Weight,Type
0,10,0.9204,Directed
0,8,0.9231,Directed
0,2,0.9210,Directed
1,8,0.8461,Directed
1,3,0.9210,Directed
1,18,2.5053,Directed
2,16,0.9210,Directed
2,3,0.8420,Directed
2,5,0.9201,Directed
3,5,0.8402,Directed
3,16,0.8420,Directed
3,6,1.6667,Directed
4,9,0.9202,Directed
4,17,0.9244,Directed
4,14,0.9201,Directed
5,7,1.7038,Directed
5,18,1.6435,Directed
5,19,1.6986,Directed
6,10,1.6405,Directed
6,13,0.9322,Directed
6,12,0.9204,Directed
7,15,0.9212,Directed
7,17,0.8488,Directed
7,19,1.5397,Directed
8,3,0.7630,Directed
8,7,0.8412,Directed
8,18,0.7715,Directed
9,2,0.8420,Directed
9,11,0.9366,Directed
9,0,1.7097,Directed
10,19,0.7601,Directed
10,18,0.6953,Directed
10,7,0.7618,Directed
11,19,0.6801,Directed
11,7,0.6823,Directed
11,0,0.8510,Directed
12,2,0.7630,Directed
12,1,2.4792,Directed
12,7,0.6029,Directed
13,2,0.6840,Directed
13,1,0.8426,Directed
13,10,0.7613,Directed
14,2,0.6050,Directed
14,17,0.7732,Directed
14,7,0.5235,Directed
15,8,0.7692,Directed
15,16,0.7630,Directed
15,6,0.8438,Directed
16,18,0.6191,Directed
16,4,0.9244,Directed
16,15,0.8424,Directed
17,7,0.4441,Directed
17,15,0.7636,Directed
17,13,0.8645,Directed
18,6,0.7658,Directed
18,3,0.6840,Directed
18,17,0.6976,Directed
19,13,0.7968,Directed
19,11,0.8768,Directed
19,18,0.5430,Directed
9,4,0.7968,Directed
14,3,0.7917,Directed
18,10,0.7802,Directed
18,14,0.7661,Directed
19,8,0.7996,Directed
2,18,0.7885,Directed
9,5,0.7998,Directed
12,15,0.7579,Directed
12,14,0.7660,Directed
0,1,0.7714,Directed
5,15,2.3518,Directed
6,5,1.5603,Directed
9,14,0.8003,Directed
9,19,1.5026,Directed
12,9,0.7792,Directed
5,3,2.2381,Directed
1,12,0.7981,Directed
6,19,0.7682,Directed
5,14,0.7676,Directed
5,2,0.7985,Directed
10,2,0.7998,Directed
16,10,0.7712,Directed
9,16,0.7976,Directed
14,19,0.7807,Directed
22,24,0.9174,Directed
9,1,2.3339,Directed
14,0,0.7615,Directed
24,5,0.7991,Directed
9,15,1.5465,Directed
21,23,1.5022,Directed
19,25,0.7600,Directed
20,6,0.8004,Directed
18,23,1.5922,Directed
13,25,0.8116,Directed
13,18,0.7200,Directed
19,1,0.7607,Directed
18,7,1.5980,Directed
1,19,0.7754,Directed
9,7,0.8000,Directed
7,23,0.7841,Directed
13,15,0.7786,Directed
5,6,0.8003,Directed
6,3,0.7995,Directed
