step,agent_id,cumulative_interest,repository_size,k_value,boredom_triggered,num_self_evals,num_other_evals,num_shares,num_domain_adoptions,avg_novelty_generated,avg_interest_generated
0,0,0.6499893537142688,3,15,False,1,2,1,2,1.0,0.9999836210988751
0,1,0.6499995083458803,4,15,False,1,3,1,3,1.0,0.9999992436090465
0,2,0.6499999980365656,5,15,False,1,4,1,4,1.0,0.9999999969793316
0,3,0.6499953085483633,5,15,False,1,4,1,4,1.0,0.9999927823820973
0,4,0.6492177752796016,2,15,False,1,1,1,1,1.0,0.9987965773532331
0,5,0.649965154468399,3,15,False,1,2,1,2,1.0,0.9999463914898445
0,6,0.6499999549091292,4,15,False,1,3,1,3,1.0,0.9999999306294296
0,7,0.6499999384088037,7,15,False,1,6,1,6,1.0,0.9999999052443134
0,8,0.6499967419578232,3,15,False,1,2,1,2,1.0,0.9999949876274203
0,9,0.649999999358718,2,15,False,1,1,1,1,1.0,0.9999999990134123
0,10,0.6499571538949749,3,15,False,1,2,1,2,1.0,0.999934082915346
0,11,0.649999999358718,3,15,False,1,2,1,2,1.0,0.9999999990134123
0,12,0.6499999932300805,2,15,False,1,1,1,1,1.0,0.9999999895847392
0,13,0.649999999358718,5,15,False,1,4,1,4,1.0,0.9999999990134123
0,14,0.6499999657384492,3,15,False,1,2,1,2,1.0,0.9999999472899218
0,15,0.6499832845772789,3,15,False,1,2,1,2,1.0,0.9999742839650445
0,16,0.6499999446689855,5,15,False,1,4,1,4,1.0,0.9999999148753622
0,17,0.64999827338714,4,15,False,1,3,1,3,1.0,0.9999973436725231
0,18,0.6499999595742559,7,15,False,1,6,1,6,1.0,0.9999999378065476
0,19,0.6499264399355285,7,15,False,1,6,1,6,1.0,0.9998868306700437
10,0,0.031850995492558466,15,15,False,11,3,1,2,0.5847888573667795,0.3955148522231177
10,1,0.454177335586194,16,15,False,11,5,1,3,0.6128501485968367,0.42181971926223816
10,2,0.7018046545243563,20,15,False,11,5,4,4,0.6183626329005665,0.5009657041973157
10,3,0.16876576733959042,20,15,False,11,9,1,4,0.6058526010642934,0.3619278951182074
10,4,0.01905890606322673,19,15,False,11,7,1,1,0.6327436666377745,0.4458571949869036
10,5,0.1988856673425518,18,15,False,11,6,1,2,0.5942519926849764,0.3934423263419297
10,6,0.5321419338953098,18,15,False,11,7,2,3,0.6421197135138382,0.5119490484517221
10,7,0.520211837746718,25,15,False,11,8,2,6,0.634489529839687,0.3675256511695007
10,8,0.273464394124229,15,15,False,11,4,1,2,0.7089233030527562,0.5056976748536908
10,9,0.6627523954531196,14,15,False,11,4,4,1,0.6338185735789651,0.684056382945292
10,10,0.3225345112811628,16,15,False,11,5,3,2,0.6977405874612509,0.5564790771033383
10,11,0.7183646101873049,15,15,False,11,5,3,2,0.5532802227471372,0.6379628254016215
10,12,0.7165997490705622,15,15,False,11,4,4,1,0.6518899049887027,0.6756884760657293
10,13,0.6735992897332371,22,15,False,11,8,5,4,0.6286769786654234,0.5513337790456957
10,14,0.693396249307748,18,15,False,11,8,2,2,0.5859292324655446,0.5196483568047968
10,15,0.21551371102048428,18,15,False,11,6,1,2,0.613482614212495,0.4278545291263727
10,16,0.5047168607212362,21,15,False,11,6,1,4,0.6090946721143233,0.38440396555495737
10,17,0.42499381207504483,18,15,False,11,7,1,3,0.5490984355109172,0.4010853187819982
10,18,0.7372268286198107,25,15,False,11,10,3,6,0.6548978932956738,0.4068428043621155
10,19,0.25438598473999385,29,15,False,11,12,2,6,0.6862968436119669,0.3488161970687788
20,0,0.2702414885652426,30,15,False,21,9,2,2,0.42758835861976024,0.33920679417591737
20,1,0.38824775010331314,32,15,False,21,11,1,4,0.424520240812578,0.39133265729304045
20,2,0.7246381670573987,33,15,False,21,9,8,5,0.47045371514967876,0.4898073568276765
20,3,0.3059302019730566,36,15,False,21,15,1,5,0.4223283234555296,0.30075128034927656
20,4,0.442930079776674,36,15,False,21,10,1,1,0.4996543284338877,0.319976020699784
20,5,0.3235691665777488,35,15,False,21,12,1,3,0.4893481732719375,0.3217143142862466
20,6,0.5324687120157797,36,15,False,21,15,4,7,0.4678999374052581,0.5088073625453269
20,7,0.6297372862423729,37,15,False,21,10,3,7,0.44621533721907597,0.413111758038747
20,8,0.4629278993849994,35,15,False,21,14,1,4,0.49644773614621734,0.3969644117868001
