Source,Target,Weight,Type
0,19,1.7227,Directed
0,3,2.4600,Directed
0,18,1.7106,Directed
1,16,0.9204,Directed
1,3,1.6349,Directed
1,5,1.7294,Directed
2,5,2.4390,Directed
2,16,4.7373,Directed
2,6,4.0225,Directed
3,9,0.9200,Directed
3,17,2.4247,Directed
3,14,0.9203,Directed
4,7,0.9204,Directed
4,18,0.8407,Directed
4,19,0.8645,Directed
5,10,1.7230,Directed
5,13,0.9200,Directed
5,12,0.9201,Directed
6,15,2.4790,Directed
6,17,0.8447,Directed
6,19,1.5935,Directed
7,3,1.5122,Directed
7,8,2.4840,Directed
7,18,2.3280,Directed
8,2,0.9201,Directed
8,11,0.9200,Directed
8,0,0.9255,Directed
9,19,0.7290,Directed
9,18,0.6814,Directed
9,7,0.8409,Directed
10,19,2.2488,Directed
10,7,2.3159,Directed
10,0,0.8510,Directed
11,2,2.4030,Directed
11,1,1.7214,Directed
11,7,4.4666,Directed
12,2,5.3027,Directed
12,1,3.9449,Directed
12,10,2.4277,Directed
13,2,2.2335,Directed
13,17,3.9023,Directed
13,7,4.5209,Directed
14,8,0.8464,Directed
14,16,4.6173,Directed
14,6,2.3980,Directed
15,18,0.6018,Directed
15,4,0.9390,Directed
15,16,3.7666,Directed
16,7,2.8102,Directed
16,15,1.6447,Directed
16,13,3.8197,Directed
17,6,3.1101,Directed
17,3,0.6952,Directed
17,18,1.3222,Directed
18,13,1.5318,Directed
18,11,1.5673,Directed
18,19,1.3501,Directed
19,13,1.4260,Directed
19,14,2.3778,Directed
19,1,1.5371,Directed
6,12,2.2691,Directed
12,14,4.6529,Directed
6,8,3.0720,Directed
10,14,0.7305,Directed
11,6,3.1117,Directed
12,8,1.5218,Directed
13,16,4.7303,Directed
16,18,4.5657,Directed
16,3,2.3397,Directed
18,17,1.5817,Directed
19,7,1.5470,Directed
0,13,0.7447,Directed
0,10,1.5739,Directed
7,13,2.2753,Directed
13,5,2.2639,Directed
2,12,1.4981,Directed
2,13,2.3049,Directed
12,13,2.3048,Directed
14,2,4.5595,Directed
18,6,3.1266,Directed
6,18,1.5261,Directed
6,7,3.8871,Directed
9,11,0.7446,Directed
17,14,2.3049,Directed
19,15,1.5235,Directed
13,6,2.3025,Directed
13,11,1.5005,Directed
17,15,0.7895,Directed
2,15,2.2272,Directed
12,5,1.5623,Directed
16,19,0.7982,Directed
1,12,0.7928,Directed
1,19,2.3511,Directed
1,14,0.7910,Directed
2,17,2.3041,Directed
14,15,1.5890,Directed
3,19,1.5990,Directed
11,3,0.7930,Directed
2,7,0.8000,Directed
5,6,2.3465,Directed
5,1,0.7575,Directed
13,8,1.5646,Directed
13,15,0.7966,Directed
8,15,1.5720,Directed
9,12,0.7642,Directed
17,1,3.1445,Directed
7,19,2.3804,Directed
15,13,2.2928,Directed
15,2,2.3616,Directed
11,15,0.7999,Directed
16,1,0.7674,Directed
14,7,2.3772,Directed
15,12,1.5485,Directed
18,15,0.7987,Directed
6,2,2.3102,Directed
11,18,2.3741,Directed
18,16,1.5795,Directed
11,12,3.9136,Directed
3,7,2.3451,Directed
0,12,1.5787,Directed
3,10,0.7958,Directed
0,15,1.5919,Directed
18,2,3.8517,Directed
0,6,1.5440,Directed
2,14,3.1265,Directed
3,0,1.5881,Directed
16,6,2.3451,Directed
17,2,1.5530,Directed
3,1,3.0464,Directed
12,7,5.4675,Directed
1,13,1.5467,Directed
6,14,2.3147,Directed
13,0,1.5966,Directed
5,14,0.7891,Directed
8,17,2.2495,Directed
16,12,3.9361,Directed
2,8,1.5427,Directed
4,16,1.5214,Directed
4,1,1.5652,Directed
6,1,2.3202,Directed
18,1,1.5878,Directed
7,14,0.7973,Directed
6,3,2.3628,Directed
15,6,1.5699,Directed
2,18,6.2685,Directed
3,5,1.5826,Directed
5,17,1.5410,Directed
7,15,2.2775,Directed
14,12,2.3436,Directed
6,0,1.5438,Directed
7,1,1.5735,Directed
10,15,0.7724,Directed
1,15,1.5979,Directed
12,0,1.5807,Directed
14,18,0.7991,Directed
16,14,2.2879,Directed
13,19,0.8000,Directed
14,3,1.5800,Directed
14,0,2.2954,Directed
19,16,0.7957,Directed
1,17,2.3701,Directed
16,2,1.5725,Directed
18,5,0.8003,Directed
15,5,2.3433,Directed
11,8,1.5569,Directed
12,19,1.5375,Directed
13,1,3.8770,Directed
14,1,1.5526,Directed
15,11,0.7534,Directed
12,16,3.0680,Directed
10,1,0.7941,Directed
12,6,2.3550,Directed
14,13,3.0585,Directed
8,10,2.3346,Directed
13,14,0.7979,Directed
11,5,0.7992,Directed
12,3,1.5717,Directed
11,13,1.5467,Directed
15,17,2.3027,Directed
8,3,0.7925,Directed
6,11,1.4636,Directed
15,19,0.7943,Directed
15,1,0.7613,Directed
8,13,0.7515,Directed
8,1,0.7394,Directed
3,6,0.7810,Directed
13,10,0.7087,Directed
7,17,0.7818,Directed
4,5,2.3645,Directed
19,2,1.5527,Directed
10,5,0.7806,Directed
0,16,1.5804,Directed
18,10,0.8004,Directed
0,7,1.5887,Directed
6,13,1.5213,Directed
14,10,1.5460,Directed
17,13,1.5182,Directed
6,5,0.7974,Directed
8,18,0.7960,Directed
16,5,0.7506,Directed
1,7,2.3391,Directed
2,19,0.7976,Directed
2,3,2.3603,Directed
12,17,0.7825,Directed
18,7,1.5824,Directed
8,7,0.7932,Directed
8,6,0.7873,Directed
12,11,0.7497,Directed
1,10,1.4938,Directed
18,8,0.7997,Directed
11,10,0.7331,Directed
19,10,0.7800,Directed
19,11,0.7503,Directed
18,0,0.7848,Directed
4,8,0.7492,Directed
11,0,0.7734,Directed
3,12,0.7418,Directed
8,5,1.5670,Directed
1,18,0.7546,Directed
4,12,1.5494,Directed
11,17,2.2849,Directed
14,19,0.7106,Directed
10,16,0.8005,Directed
2,11,0.7411,Directed
16,0,0.7999,Directed
2,1,0.8000,Directed
5,3,0.8005,Directed
7,2,1.5762,Directed
13,18,0.8001,Directed
3,13,0.7685,Directed
0,11,0.7536,Directed
18,12,0.7344,Directed
18,3,0.7432,Directed
0,1,0.7922,Directed
0,17,0.7976,Directed
17,5,0.7806,Directed
19,18,0.7710,Directed
3,18,0.7704,Directed
5,19,0.7971,Directed
7,12,0.7899,Directed
18,14,0.7952,Directed
7,4,0.7283,Directed
5,8,0.7603,Directed
5,0,0.8004,Directed
10,2,0.7520,Directed
8,12,0.7803,Directed
15,8,0.7826,Directed
15,14,0.7980,Directed
14,5,1.5682,Directed
2,10,0.7650,Directed
