step,agent_id,cumulative_interest,repository_size,k_value,boredom_triggered,num_self_evals,num_other_evals,num_shares,num_domain_adoptions,avg_novelty_generated,avg_interest_generated
0,0,0.6499893537142688,3,15,False,1,2,1,2,1.0,0.9999836210988751
0,1,0.6499995083458803,3,15,False,1,2,1,2,1.0,0.9999992436090465
0,2,0.6499997019194548,6,15,False,1,5,1,5,1.0,0.9999995414145457
0,3,0.6499997018936725,5,15,False,1,4,1,4,1.0,0.9999995413748808
0,4,0.6499933858147872,2,15,False,1,1,1,1,1.0,0.9999898243304418
0,5,0.6499999940343756,3,15,False,1,2,1,2,1.0,0.9999999908221162
0,6,0.6499988877928865,4,15,False,1,3,1,3,1.0,0.999998288912133
0,7,0.6499998945863416,8,15,False,1,7,1,7,1.0,0.9999998378251409
0,8,0.6499970378557433,4,15,False,1,3,1,3,1.0,0.9999954428549895
0,9,0.6499999845467384,2,15,False,1,1,1,1,1.0,0.9999999762257513
0,10,0.649999938392696,4,15,False,1,3,1,3,1.0,0.9999999052195323
0,11,0.6476787580376808,3,15,False,1,2,1,2,1.0,0.9964288585195089
0,12,0.6499999595742559,2,15,False,1,1,1,1,1.0,0.9999999378065476
0,13,0.6499264399355285,4,15,False,1,3,1,3,1.0,0.9998868306700437
0,14,0.6499999965839343,2,15,False,1,1,1,1,1.0,0.9999999947445142
0,15,0.649999564689123,4,15,False,1,3,1,3,1.0,0.9999993302909584
0,16,0.6499996944456127,4,15,False,1,3,1,3,1.0,0.9999995299163271
0,17,0.6499934839307048,5,15,False,1,4,1,4,1.0,0.9999899752780073
0,18,0.6499952173707686,7,15,False,1,6,1,6,1.0,0.9999926421088747
0,19,0.649999999358718,5,15,False,1,4,1,4,1.0,0.9999999990134123
10,0,0.10442465145518481,17,15,False,11,6,1,2,0.6380532278811311,0.45140012885547515
10,1,0.3393728190454308,13,15,False,11,4,2,2,0.6383139301073859,0.5245298362179247
10,2,0.21895557426735762,19,15,False,11,8,2,5,0.6372945195660716,0.4179597209112368
10,3,0.645822963222996,20,15,False,11,8,2,4,0.6342178227760674,0.4502450957347385
10,4,0.05556220488218358,15,15,False,11,1,1,1,0.6008538554855144,0.46914574055710695
10,5,0.6789038180978165,16,15,False,11,5,3,2,0.5577517043249022,0.5798722792665741
10,6,0.41846736147993324,17,15,False,11,7,2,3,0.6039493114426436,0.5162010836884768
10,7,0.5605837217456374,19,15,False,11,7,2,7,0.6302188540543252,0.32943001872802213
10,8,0.27128097537793694,18,15,False,11,6,1,3,0.5960843348568701,0.3733999162956057
10,9,0.3966615337435341,14,15,False,11,4,1,1,0.6035870339024562,0.5654315417158483
10,10,0.6501688671574696,18,15,False,11,7,3,3,0.6408955213407932,0.4935060729947305
10,11,0.0220946426194071,17,15,False,11,6,1,2,0.6278742604523777,0.4510067675646549
10,12,0.3426257953954362,14,15,False,11,5,2,1,0.6063309096828983,0.5562871238146099
10,13,0.04914807571189589,17,15,False,11,3,1,3,0.6469163988293354,0.41618442065614475
10,14,0.6277770422920513,15,15,False,11,4,4,1,0.6225698286447674,0.6519531245188197
10,15,0.2868032312395452,17,15,False,11,5,2,3,0.6730168804336542,0.5130503105321659
10,16,0.25930676262937724,15,15,False,11,3,1,3,0.5979483457621232,0.4156688942876595
10,17,0.10718651083951748,19,15,False,11,5,1,4,0.6016127544189684,0.30951643057872447
10,18,0.19720205625223747,20,15,False,11,7,1,6,0.6094795790337263,0.2457991358830648
10,19,0.6767719146669372,18,15,False,11,7,3,4,0.6057829828505786,0.5621826735537468
20,0,0.31887407270486057,39,15,False,21,17,1,3,0.4605543660373861,0.3608392217526979
20,1,0.6714031045827993,33,15,False,21,14,6,5,0.4638848024043883,0.49053478743045
20,2,0.6917400003073033,38,15,False,21,17,4,6,0.47284771929603975,0.4583951594501099
20,3,0.7257445507142082,38,15,False,21,16,7,7,0.4808361901781238,0.5192733831391876
20,20,0.0,0,15,False,0,0,0,0,0.0,0.0
20,5,0.7428598096420653,37,15,False,21,16,8,3,0.41739283617645917,0.5591736769532892
20,6,0.6449324366747494,32,15,False,21,12,6,5,0.48928176101292625,0.4665594460391873
20,7,0.6720482840322425,39,15,False,21,17,5,10,0.5275336829535858,0.377747040283397
20,8,0.3260312214697899,35,15,False,21,13,3,3,0.42160300852782,0.33945227620096596
20,9,0.7065303430074763,35,15,False,21,16,4,4,0.4738376302749054,0.5141585409862856
20,10,0.7939932697922591,32,15,False,21,13,7,3,0.5137426901610493,0.5120005684037842
20,11,0.09733187419813524,48,15,False,21,20,1,2,0.4921257748744216,0.2937099832981603
20,21,0.0,0,15,False,0,0,0,0,0.0,0.0
20,13,0.2406048407450668,35,15,False,21,8,1,4,0.48664839902825513,0.32220560809740245
20,14,0.6790536887350636,37,15,False,21,16,8,3,0.45265689130454234,0.641913421267041
20,15,0.7564572749746448,37,15,False,21,15,6,6,0.48639937765867036,0.4944649895047875
20,16,0.6338831671914511,36,15,False,21,14,4,7,0.48782721108137445,0.3948796559913884
20,17,0.4193352493672577,38,15,False,21,13,3,5,0.4486994434339819,0.32170833315143105
20,18,0.5117236837777582,36,15,False,21,13,4,6,0.46551655008539694,0.3142558955620862
20,19,0.7555947723210237,34,15,False,21,13,7,4,0.43706767303265437,0.5616184119461007
30,26,0.47297417200656283,7,15,False,4,3,1,1,0.16613772287314002,0.38447548149936606
30,1,0.3384002177667139,50,15,False,31,21,6,5,0.3792963530038822,0.43609231063223486
30,28,0.0016151046835413574,2,15,False,1,0,0,0,0.022890467586655465,0.002484776436217473
30,3,0.5335245702855704,50,15,False,31,19,10,7,0.4391326132223552,0.49820295438320283
30,20,0.145311530145776,19,15,False,10,6,0,0,0.1584237721303559,0.07391174895565855
30,5,0.48259818510836533,52,15,False,31,21,11,5,0.339543081604873,0.544855716127243
30,6,0.482614996272211,46,15,False,31,17,9,6,0.4319430054644241,0.4676906680678513
30,7,0.47243313895249794,55,15,False,31,23,6,11,0.4504457986169509,0.3824420519578076
30,22,0.07155005137433856,13,15,False,9,2,0,0,0.15198221521224858,0.10145752466897773
30,9,0.7565563882036089,51,15,False,31,23,10,6,0.41507522991069945,0.556758241848797
30,23,0.12478458991971253,14,15,False,8,6,1,1,0.24883838254126156,0.1718009198542648
30,11,0.01741010015579216,70,15,False,31,27,1,2,0.40657203235052647,0.2025180795930865
30,21,0.4101888156629208,18,15,False,10,6,0,0,0.18652611588546558,0.16273231045504774
30,13,0.48968954340758697,51,15,False,31,13,2,6,0.4219586030699137,0.27499322355979355
30,27,0.2373904920427367,6,15,False,4,1,1,0,0.24673280243349302,0.27098650053927165
30,15,0.5473394572479888,51,15,False,31,19,9,7,0.42536192820590624,0.4771785773369032
30,24,0.11194785677588066,10,15,False,8,3,0,1,0.08566279400065847,0.06788864540620129
30,25,0.5430778207440553,7,15,False,6,2,1,1,0.051957165185049926,0.3731423598903154
30,18,0.32515129853953467,49,15,False,31,16,5,6,0.3759859556961628,0.27330788750711627
30,19,0.5836252626489888,49,15,False,31,18,8,4,0.3874783971392351,0.544722772582415
40,26,0.7211331877242757,24,15,False,14,10,6,4,0.23595839638077318,0.49921948280998574
40,31,0.011961253726989867,2,15,False,1,0,0,0,0.02418394984890598,0.018401928810753643
40,28,0.15679930786280324,23,15,False,11,8,0,0,0.18801761574611212,0.08043758934260903
40,3,0.5773282834637358,66,15,False,41,25,14,12,0.44092274315379626,0.505409061891887
40,20,0.35240946216276114,37,15,False,20,14,2,1,0.2176104056828822,0.16045848275930025
40,5,0.706174406407025,66,15,False,41,25,17,6,0.34133248336732325,0.551978283727163
40,6,0.5206782525108661,68,15,False,41,29,12,10,0.41106016971518455,0.4568465837671018
40,7,0.6972683782230423,68,15,False,41,26,10,11,0.4300650841720848,0.4093489291206725
40,22,0.24734391205164885,32,15,False,19,11,0,2,0.19448516281230938,0.15248066184501977
40,9,0.626446901213481,67,15,False,41,29,14,10,0.38823773178993004,0.5612595594750412
40,23,0.24300787577802457,31,15,False,18,14,2,2,0.2694684857392011,0.21963136982706966
40,29,0.08694983587766683,17,15,False,8,4,0,0,0.14695064381092796,0.05557033197813112
40,21,0.22318933166336352,34,15,False,20,13,2,0,0.23580212665610323,0.25853980532690163
40,13,0.14737531001828508,69,15,False,41,21,5,7,0.4154567369182333,0.3053470852736878
40,27,0.23412840159978537,22,15,False,14,5,1,0,0.17542010010665413,0.1500751771946333
40,15,0.4937270196247596,66,15,False,41,24,11,9,0.37599256478144966,0.4448668144378511
40,24,0.34669342683284976,25,15,False,18,8,0,2,0.15183203218553273,0.13804723682924352
40,25,0.6147873204124915,23,15,False,16,9,2,1,0.1539764529994857,0.4389410029296637
40,30,0.03710594231099443,13,15,False,4,5,0,0,0.07248837942556592,0.015342081563971627
40,19,0.6477321431736547,61,15,False,41,20,13,5,0.3330154921454244,0.560396210204765
50,26,0.6295038110833747,38,15,False,24,15,10,6,0.29683985192892337,0.5028689568424466
50,31,0.3866588061194617,20,15,False,11,6,1,1,0.1724409022556154,0.1846822085907872
50,28,0.5165176832171939,42,15,False,21,16,1,1,0.2707162731236362,0.17651636945562638
50,3,0.49206728417518486,86,15,False,51,35,14,15,0.43024729557894953,0.47018313324849526
50,20,0.19204671419037822,54,15,False,30,21,3,2,0.21218958956220024,0.15981140273360966
50,5,0.6090246379842073,79,15,False,51,28,21,7,0.3437174483678695,0.5637491625629176
50,6,0.3614998997055511,82,15,False,51,33,14,11,0.41461439553834195,0.4462106827232619
50,32,0.557798403394288,9,15,False,4,4,1,1,0.223243669073882,0.31399372620948973
50,22,0.5341917891499077,50,15,False,29,19,1,2,0.22996738037702444,0.19378725118175785
50,9,0.6658534804264209,81,15,False,51,33,18,11,0.3625690078170829,0.5628136791815729
50,23,0.327101416666428,50,15,False,28,23,4,2,0.3093666993026156,0.2858133316622533
50,29,0.1965256960058877,35,15,False,18,11,1,1,0.1827878240365392,0.11284046540882237
50,21,0.38527475634899994,50,15,False,30,21,2,1,0.25076543895751363,0.2427525121632678
50,33,0.7858823871476996,9,15,False,4,4,2,1,0.23155712056482614,0.5149839158826541
50,27,0.20687033505278019,39,15,False,24,12,1,1,0.25182742916743517,0.20081877606896967
50,15,0.4759101117696032,80,15,False,51,28,15,12,0.3792238405085248,0.45406093791730695
50,24,0.40311228748748645,40,15,False,28,13,1,2,0.20775625371987588,0.2008802945578249
50,25,0.6688119649352409,37,15,False,26,13,7,1,0.16328705219182904,0.4985562419884022
50,30,0.28973188330411537,33,15,False,14,12,2,1,0.2000631322179352,0.161683512228948
50,19,0.7103370047364903,79,15,False,51,28,17,9,0.35079387266414425,0.5297224293787558
60,38,0.43539111416425663,6,15,False,4,1,0,0,0.112203389618104,0.2974855614391939
60,31,0.22342768031090765,36,15,False,21,11,4,1,0.2647953335342783,0.26580060705178726
60,34,0.6794999423829133,9,15,False,7,3,4,1,0.22544969412434487,0.5948488905611803
60,37,0.08886165030078431,15,15,False,6,5,0,0,0.16936028092630298,0.09586733717583971
60,35,0.24974070955080804,15,15,False,7,2,0,0,0.12006190932356724,0.07012174879464074
60,5,0.6050979523315853,94,15,False,61,33,26,7,0.33382945597275465,0.5798622848394666
60,39,0.0,0,15,False,0,0,0,0,0.0,0.0
60,32,0.2603932252731861,22,15,False,14,6,1,1,0.142925840506643,0.21104724419119583
60,22,0.2801469712752116,68,15,False,39,26,2,4,0.2524022660732072,0.22253175706130932
60,9,0.3313127507086905,98,15,False,61,40,20,14,0.3353988227694114,0.5515558904380885
60,23,0.4315372422713313,72,15,False,38,29,5,4,0.3176685092011637,0.2605866562341956
60,29,0.14667476523336415,51,15,False,28,16,2,4,0.2342979616744463,0.16159917773179702
60,21,0.2361148799363053,64,15,False,40,25,3,2,0.24938682935016368,0.2607396446967215
60,33,0.7066569024542431,28,15,False,14,14,6,5,0.22775365166468142,0.5383695041559494
60,27,0.2791262905157718,59,15,False,34,21,3,2,0.2978257680867229,0.23540378005400592
60,36,0.4922223664465491,12,15,False,7,3,0,1,0.04258485377564647,0.22861153016007482
60,24,0.39107349074119685,54,15,False,38,17,2,2,0.2221833603619589,0.22188905872450432
60,25,0.6612860468710434,54,15,False,36,20,8,1,0.18024051954340375,0.4902833879674108
60,30,0.4316436632023286,53,15,False,24,18,4,1,0.21905770839554908,0.1907828669050038
