Source,Target,Weight,Type
0,10,0.9204,Directed
0,8,0.9231,Directed
0,2,0.9210,Directed
1,8,0.8461,Directed
1,3,0.9210,Directed
1,18,0.9238,Directed
2,16,0.9210,Directed
2,3,0.8420,Directed
2,5,0.9201,Directed
3,5,0.8402,Directed
3,16,1.6156,Directed
3,6,2.4749,Directed
4,9,0.9202,Directed
4,17,0.9244,Directed
4,14,0.9201,Directed
5,7,0.9206,Directed
5,18,0.8476,Directed
5,19,0.9200,Directed
6,10,0.8409,Directed
6,13,1.7323,Directed
6,12,0.9204,Directed
7,15,1.6109,Directed
7,17,0.8488,Directed
7,19,0.8400,Directed
8,3,0.7630,Directed
8,7,0.8412,Directed
8,18,0.7715,Directed
9,2,0.8420,Directed
9,11,0.9366,Directed
9,0,0.9255,Directed
10,19,0.7601,Directed
10,18,0.6953,Directed
10,7,0.7618,Directed
11,19,0.6801,Directed
11,7,0.6823,Directed
11,0,0.8510,Directed
12,2,0.7630,Directed
12,1,1.7038,Directed
12,7,0.6029,Directed
13,2,0.6840,Directed
13,1,0.8426,Directed
13,10,0.7613,Directed
14,2,0.6050,Directed
14,17,1.5626,Directed
14,7,0.5235,Directed
15,8,0.7692,Directed
15,16,1.5544,Directed
15,6,0.8438,Directed
16,18,0.6191,Directed
16,4,0.9244,Directed
16,15,0.8424,Directed
17,7,0.4441,Directed
17,15,0.7636,Directed
17,13,0.8645,Directed
18,6,0.7658,Directed
18,3,1.4060,Directed
18,17,0.6976,Directed
19,13,0.7968,Directed
19,11,0.8768,Directed
19,18,0.5430,Directed
8,0,0.8001,Directed
18,9,0.7874,Directed
18,12,0.7948,Directed
6,3,1.5574,Directed
6,7,0.7917,Directed
9,15,0.7989,Directed
16,13,0.7928,Directed
17,16,0.7970,Directed
1,14,0.7889,Directed
2,9,0.7898,Directed
3,15,0.7729,Directed
4,12,1.5764,Directed
4,1,0.7936,Directed
6,14,0.7999,Directed
16,2,0.7941,Directed
16,7,0.7831,Directed
5,3,0.7751,Directed
5,1,0.7811,Directed
9,6,0.7828,Directed
18,16,0.7761,Directed
6,9,1.5623,Directed
12,3,0.7818,Directed
1,7,0.8000,Directed
19,15,0.7905,Directed
19,5,2.3378,Directed
9,5,1.5835,Directed
3,7,0.7851,Directed
14,15,0.7999,Directed
14,9,0.7851,Directed
23,9,0.7980,Directed
14,6,0.7995,Directed
14,23,0.8379,Directed
15,2,0.7921,Directed
6,24,0.8776,Directed
15,25,0.9087,Directed
5,26,0.8406,Directed
9,13,0.7966,Directed
15,9,0.8004,Directed
15,3,1.4692,Directed
19,22,0.7894,Directed
21,26,0.8069,Directed
26,6,1.5869,Directed
26,20,0.7232,Directed
