step,agent_id,cumulative_interest,repository_size,k_value,boredom_triggered,num_self_evals,num_other_evals,num_shares,num_domain_adoptions,avg_novelty_generated,avg_interest_generated
0,0,0.6499893537142688,3,15,False,1,2,1,2,1.0,0.9999836210988751
0,1,0.6499995083458803,4,15,False,1,3,1,3,1.0,0.9999992436090465
0,2,0.6499999980365656,5,15,False,1,4,1,4,1.0,0.9999999969793316
0,3,0.6499953085483633,5,15,False,1,4,1,4,1.0,0.9999927823820973
0,4,0.6492177752796016,2,15,False,1,1,1,1,1.0,0.9987965773532331
0,5,0.649965154468399,3,15,False,1,2,1,2,1.0,0.9999463914898445
0,6,0.6499999549091292,4,15,False,1,3,1,3,1.0,0.9999999306294296
0,7,0.6499999384088037,7,15,False,1,6,1,6,1.0,0.9999999052443134
0,8,0.6499967419578232,3,15,False,1,2,1,2,1.0,0.9999949876274203
0,9,0.649999999358718,2,15,False,1,1,1,1,1.0,0.9999999990134123
0,10,0.6499571538949749,3,15,False,1,2,1,2,1.0,0.999934082915346
0,11,0.649999999358718,3,15,False,1,2,1,2,1.0,0.9999999990134123
0,12,0.6499999932300805,2,15,False,1,1,1,1,1.0,0.9999999895847392
0,13,0.649999999358718,5,15,False,1,4,1,4,1.0,0.9999999990134123
0,14,0.6499999657384492,3,15,False,1,2,1,2,1.0,0.9999999472899218
0,15,0.6499832845772789,3,15,False,1,2,1,2,1.0,0.9999742839650445
0,16,0.6499999446689855,5,15,False,1,4,1,4,1.0,0.9999999148753622
0,17,0.64999827338714,4,15,False,1,3,1,3,1.0,0.9999973436725231
0,18,0.6499999595742559,7,15,False,1,6,1,6,1.0,0.9999999378065476
0,19,0.6499264399355285,7,15,False,1,6,1,6,1.0,0.9998868306700437
10,0,0.3132804033696768,17,15,False,11,5,1,2,0.707447639560609,0.4522837804501221
10,1,0.5930496314617034,18,15,False,11,8,3,3,0.6902922055965511,0.5462213016771078
10,2,0.6565717787263821,20,15,False,11,6,1,4,0.5844746964900006,0.45308882701709996
10,3,0.47879237565777405,15,15,False,11,7,1,4,0.6381305822571234,0.42960302048040633
10,4,0.06368908713065363,18,15,False,11,6,1,1,0.6775083051763391,0.478259050397888
10,5,0.36056264012935696,20,15,False,11,6,1,2,0.6254969437851522,0.4436866901532974
10,6,0.5421687710922343,16,15,False,11,5,1,3,0.5414505095097222,0.4514071398685626
10,7,0.6061196683364042,21,15,False,11,9,4,6,0.6974954996114379,0.45270761500054485
10,8,0.35571226093158154,15,15,False,11,4,2,2,0.6598562946533759,0.5254319182821654
10,9,0.639304191157835,13,15,False,11,2,4,1,0.6448710966263672,0.6981290621452246
10,10,0.20114621495619173,14,15,False,11,4,1,2,0.7114910422345603,0.4748490961728917
10,11,0.7384809457582193,13,15,False,11,3,2,2,0.5815703487485547,0.6739157067255814
10,12,0.6824497070213185,17,15,False,11,6,3,1,0.646669768096513,0.6800246168189098
10,13,0.7484108096038249,15,15,False,11,4,2,4,0.6792991066654795,0.5103006613061393
10,14,0.5367382458957788,13,15,False,11,4,2,2,0.5203565402517282,0.6044771580029871
10,15,0.10698259689560445,18,15,False,11,4,1,2,0.643081257004516,0.4333926315896782
10,16,0.7326764418796634,20,15,False,11,9,4,4,0.7137379488636012,0.562316159575557
10,17,0.4540338396450201,18,15,False,11,8,1,3,0.5167664891847173,0.4393635573474293
10,18,0.6489973342991082,22,15,False,11,10,3,6,0.6308539166457883,0.4227092768913723
10,19,0.06639564101475978,20,15,False,11,7,1,6,0.6168443822054882,0.27307703720324966
20,0,0.42724176004010267,34,15,False,21,12,2,3,0.569427223700532,0.39758201114827607
20,1,0.6461539351397323,34,15,False,21,15,7,5,0.5935684337913597,0.582554800173119
20,2,0.5400150916298252,39,15,False,21,15,4,6,0.45181006878539426,0.5252645677568799
20,3,0.5590171506424289,33,15,False,21,15,3,5,0.5098568258165846,0.39954617980412044
20,4,0.11759199315672,40,15,False,21,13,1,1,0.5488031259489292,0.3215889567419184
20,5,0.3813151905227605,35,15,False,21,11,1,3,0.5059566690908708,0.3895642349790149
20,6,0.7610197688744711,33,15,False,21,12,5,4,0.4102828787033954,0.48909751307876775
20,7,0.6040630394174094,35,15,False,21,14,8,10,0.5378777006300198,0.5109393883126303
20,8,0.549948074019916,29,15,False,21,10,2,5,0.42308951277775037,0.35038546830164596
