Source,Target,Weight,Type
0,19,0.9322,Directed
0,3,0.9238,Directed
0,18,0.9204,Directed
1,16,4.8456,Directed
1,3,4.0174,Directed
1,5,2.4976,Directed
2,5,2.4550,Directed
2,16,2.3407,Directed
2,6,4.0544,Directed
3,9,0.9200,Directed
3,17,0.9224,Directed
3,14,2.4413,Directed
4,7,0.9204,Directed
4,18,0.8407,Directed
4,19,0.8645,Directed
5,10,1.7071,Directed
5,13,0.9200,Directed
5,12,2.4300,Directed
6,15,2.4915,Directed
6,17,3.1678,Directed
6,19,1.5964,Directed
7,3,2.3371,Directed
7,8,1.7099,Directed
7,18,3.8300,Directed
8,2,0.9201,Directed
8,11,0.9200,Directed
8,0,0.9255,Directed
9,19,0.7290,Directed
9,18,0.6814,Directed
9,7,1.5915,Directed
10,19,0.6613,Directed
10,7,2.3409,Directed
10,0,1.6478,Directed
11,2,4.6952,Directed
11,1,2.4440,Directed
11,7,3.0555,Directed
12,2,3.0562,Directed
12,1,1.6343,Directed
12,10,1.6075,Directed
13,2,5.3458,Directed
13,17,2.3645,Directed
13,7,2.9624,Directed
14,8,2.3679,Directed
14,16,2.3477,Directed
14,6,3.1198,Directed
15,18,0.6018,Directed
15,4,0.9390,Directed
15,16,1.4774,Directed
16,7,3.6331,Directed
16,15,1.6258,Directed
16,13,2.3621,Directed
17,6,3.1399,Directed
17,3,0.6952,Directed
17,18,1.3065,Directed
18,13,3.0764,Directed
18,11,1.5686,Directed
18,19,0.5936,Directed
19,13,0.6801,Directed
19,14,1.6215,Directed
19,1,1.4996,Directed
6,1,3.7652,Directed
18,7,0.7868,Directed
3,18,0.8004,Directed
7,19,0.7476,Directed
7,0,2.3145,Directed
1,13,2.2976,Directed
14,17,1.5624,Directed
15,7,2.3734,Directed
19,2,1.5544,Directed
16,8,3.1220,Directed
12,19,1.5972,Directed
13,19,1.5241,Directed
14,12,2.3485,Directed
16,5,1.5306,Directed
12,14,2.3449,Directed
16,3,1.5282,Directed
12,16,3.1107,Directed
1,2,0.7790,Directed
12,17,2.3571,Directed
12,18,3.9240,Directed
6,13,0.7645,Directed
13,6,3.9504,Directed
17,12,2.3809,Directed
15,13,0.7654,Directed
14,19,0.7774,Directed
15,10,1.5370,Directed
2,13,1.5258,Directed
2,15,3.0831,Directed
10,16,0.7916,Directed
18,5,1.5413,Directed
1,18,3.0946,Directed
2,11,1.4910,Directed
10,13,0.7728,Directed
12,11,1.5028,Directed
6,10,0.7719,Directed
13,8,1.5761,Directed
2,1,2.9751,Directed
2,10,0.7560,Directed
11,18,3.7936,Directed
1,19,1.5380,Directed
7,17,1.5601,Directed
18,14,1.5959,Directed
2,7,1.5321,Directed
7,1,1.4723,Directed
18,3,1.5738,Directed
18,10,1.5812,Directed
19,17,1.4916,Directed
11,6,1.5496,Directed
13,16,3.1211,Directed
15,0,1.5329,Directed
3,8,0.7701,Directed
11,3,0.7786,Directed
2,18,3.8768,Directed
5,7,3.8875,Directed
8,10,1.5889,Directed
6,14,3.9553,Directed
8,16,3.1098,Directed
5,18,2.3905,Directed
18,2,2.3644,Directed
1,12,3.9402,Directed
7,6,3.1233,Directed
14,3,3.0814,Directed
14,13,2.9657,Directed
9,16,1.5359,Directed
7,12,3.9116,Directed
12,5,1.5373,Directed
12,3,1.5592,Directed
12,6,2.3234,Directed
13,12,2.3819,Directed
18,12,3.1067,Directed
1,15,1.5846,Directed
0,14,0.7959,Directed
0,2,1.4984,Directed
18,1,1.5905,Directed
7,2,3.1603,Directed
2,12,2.2734,Directed
11,8,1.5878,Directed
12,7,0.7943,Directed
10,5,1.5861,Directed
16,1,0.7471,Directed
15,8,0.7446,Directed
1,17,0.7471,Directed
5,17,2.3719,Directed
9,13,0.7609,Directed
14,2,2.3879,Directed
6,18,3.1164,Directed
7,13,2.3089,Directed
8,14,3.8853,Directed
2,3,1.5629,Directed
6,12,1.5951,Directed
4,2,0.7613,Directed
10,6,0.7717,Directed
3,16,1.5223,Directed
10,8,0.7445,Directed
11,12,1.5482,Directed
16,12,4.7905,Directed
16,0,0.7044,Directed
6,2,2.3575,Directed
8,15,0.7772,Directed
11,17,0.7784,Directed
15,6,2.3143,Directed
15,2,0.7999,Directed
19,0,1.5378,Directed
19,16,1.5490,Directed
15,17,0.8003,Directed
2,14,0.7605,Directed
1,6,1.4628,Directed
0,1,1.5853,Directed
8,3,0.7465,Directed
8,13,0.7584,Directed
13,11,2.9736,Directed
7,11,0.7536,Directed
18,0,2.3356,Directed
7,15,0.7546,Directed
7,14,1.5185,Directed
8,12,2.3460,Directed
16,2,1.5973,Directed
16,17,0.7933,Directed
13,14,2.3275,Directed
3,1,0.7980,Directed
17,5,1.5266,Directed
2,17,1.5308,Directed
2,8,0.7684,Directed
11,14,3.0523,Directed
17,14,2.3508,Directed
14,1,1.5783,Directed
5,3,1.5608,Directed
7,10,0.7393,Directed
14,15,0.7879,Directed
1,14,1.5225,Directed
6,7,0.7990,Directed
13,18,3.0953,Directed
2,0,1.5787,Directed
1,11,0.7422,Directed
14,18,1.4883,Directed
8,6,0.7824,Directed
4,0,0.7950,Directed
7,5,0.7973,Directed
5,16,0.7853,Directed
5,14,0.7962,Directed
8,7,0.7771,Directed
12,8,2.3743,Directed
17,13,0.7768,Directed
18,17,0.7772,Directed
11,13,0.7746,Directed
3,6,0.7414,Directed
18,16,1.5022,Directed
9,2,0.7277,Directed
16,11,0.7379,Directed
17,15,0.7457,Directed
18,4,0.7348,Directed
8,1,0.7952,Directed
7,16,0.7760,Directed
16,14,0.7867,Directed
18,8,1.5600,Directed
1,7,1.4754,Directed
11,15,2.3717,Directed
0,16,0.7975,Directed
0,15,0.7848,Directed
6,11,0.7533,Directed
9,0,0.7225,Directed
11,16,1.5726,Directed
8,18,0.7791,Directed
5,6,0.7657,Directed
6,3,1.5487,Directed
14,4,0.7414,Directed
10,15,0.7852,Directed
14,11,0.7394,Directed
5,8,0.7472,Directed
5,15,0.6869,Directed
6,4,0.6868,Directed
16,19,0.7348,Directed
16,4,0.7005,Directed
10,18,0.6886,Directed
8,17,0.7670,Directed
11,9,0.6587,Directed
10,12,0.6983,Directed
13,3,0.7955,Directed
3,0,0.8001,Directed
12,15,0.7492,Directed
19,7,0.7876,Directed
16,6,0.7906,Directed
